Seccion,Municipio,Nominal_2021,Proyeccion_Nominal_2027,Morena_2021,Oposicion_2021,Participacion_2021_Pct,Votos_Esperados_Totales_2027,Votos_Necesarios_50_Mas_1_2027,Clasificacion,Coordinador_Estatal,Coordinador_Distrital,Coordinador_Municipal,Coordinadores_De_Brigada_Requeridos,Brigadistas_Requeridos,Coordinadores_Seccionales_Requeridos,Protagonistas_Movilizadores_Requeridos,Votos_Nivel_1_Requeridos
337,Hermosillo,3790,3524,822,344,34.5%,1217,609,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,2,7,61,609
338,Hermosillo,5786,5651,1014,759,33.4%,1885,943,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,2,10,95,943
339,Hermosillo,3362,3360,705,513,40.2%,1350,676,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,2,7,68,676
340,Hermosillo,8924,9910,2470,1141,43.9%,4353,2177,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,5,22,218,2177
341,Hermosillo,16959,19777,3340,3385,42.9%,8480,4241,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),2,9,43,425,4241
342,Hermosillo,4811,4663,977,891,41.6%,1941,971,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,2,10,98,971
343,Hermosillo,5365,6284,1094,1159,45.6%,2862,1432,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,3,15,144,1432
344,Hermosillo,6924,8655,1052,3510,68.5%,5926,2964,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),2,6,30,297,2964
345,Hermosillo,3188,3288,761,651,49.0%,1610,806,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,2,9,81,806
346,Hermosillo,1062,955,292,101,40.0%,382,192,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,2,20,192
347,Hermosillo,2219,1997,530,258,38.5%,769,385,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,4,39,385
348,Hermosillo,1235,1111,277,123,36.2%,402,202,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,21,202
349,Hermosillo,972,874,226,79,35.1%,306,154,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,2,16,154
350,Hermosillo,2240,2016,443,223,34.8%,701,351,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,4,36,351
351,Hermosillo,2353,2117,474,212,32.5%,688,345,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,4,35,345
353,Hermosillo,1056,950,260,102,38.3%,363,182,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,2,19,182
354,Hermosillo,1243,1118,323,97,37.1%,414,208,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,21,208
355,Hermosillo,1290,1161,358,211,49.1%,570,286,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,3,29,286
356,Hermosillo,1178,1060,277,195,43.1%,457,229,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,23,229
357,Hermosillo,1684,1515,382,230,39.6%,600,301,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,4,31,301
358,Hermosillo,1583,1463,431,179,41.2%,602,302,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,4,31,302
359,Hermosillo,4471,4693,805,1749,60.3%,2829,1415,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,3,15,142,1415
360,Hermosillo,1939,1945,470,408,48.7%,946,474,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,5,48,474
361,Hermosillo,987,888,255,152,45.3%,402,202,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,21,202
362,Hermosillo,1425,1282,353,183,41.1%,526,264,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,27,264
363,Hermosillo,692,622,166,128,45.5%,283,142,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,2,15,142
364,Hermosillo,1235,1154,347,213,49.9%,575,288,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,29,288
365,Hermosillo,1586,1427,421,168,41.0%,585,293,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,30,293
366,Hermosillo,1472,1324,335,146,37.3%,493,247,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,25,247
367,Hermosillo,1974,1776,434,289,41.0%,728,365,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,4,37,365
368,Hermosillo,854,873,263,211,62.4%,544,273,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,28,273
369,Hermosillo,1350,1252,299,258,47.5%,594,298,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,30,298
370,Hermosillo,1332,1198,306,228,42.6%,509,255,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,26,255
371,Hermosillo,983,884,263,144,45.4%,401,201,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,3,21,201
372,Hermosillo,1177,1059,328,177,47.1%,498,250,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,25,250
373,Hermosillo,1452,1306,362,213,44.4%,580,291,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,30,291
374,Hermosillo,10473,10856,2023,926,31.2%,3383,1692,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,4,17,170,1692
375,Hermosillo,2598,2641,609,441,44.9%,1186,594,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,2,6,60,594
376,Hermosillo,2383,2299,608,445,49.3%,1132,567,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,2,6,57,567
377,Hermosillo,1341,1206,350,214,45.9%,553,277,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,28,277
378,Hermosillo,1372,1247,326,282,48.7%,607,304,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,4,31,304
379,Hermosillo,1288,1159,256,165,37.3%,431,216,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,3,22,216
380,Hermosillo,1418,1360,352,383,56.2%,764,383,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,4,39,383
381,Hermosillo,1125,1012,274,202,46.1%,466,234,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,24,234
382,Hermosillo,1433,1289,384,231,47.3%,609,305,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,4,31,305
383,Hermosillo,707,640,199,121,49.2%,315,158,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,2,16,158
384,Hermosillo,1837,1758,454,296,44.9%,789,395,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,4,40,395
385,Hermosillo,1414,1305,402,323,55.0%,717,359,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,4,36,359
386,Hermosillo,1590,1516,398,416,55.7%,843,422,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,5,43,422
387,Hermosillo,1837,1843,510,465,57.3%,1056,529,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,2,6,53,529
388,Hermosillo,970,915,278,239,58.2%,532,267,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,27,267
389,Hermosillo,1203,1122,337,244,52.0%,583,292,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,30,292
390,Hermosillo,1761,1588,473,329,50.2%,797,399,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,4,40,399
392,Hermosillo,1697,1621,446,688,69.8%,1131,566,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,2,6,57,566
393,Hermosillo,1867,1911,433,704,65.5%,1250,626,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,2,7,63,626
394,Hermosillo,1486,1337,349,417,54.8%,732,367,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,4,37,367
395,Hermosillo,889,800,230,180,51.4%,411,206,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,3,21,206
396,Hermosillo,1227,1104,321,188,45.1%,497,249,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,25,249
397,Hermosillo,1262,1162,311,287,51.9%,603,302,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,4,31,302
398,Hermosillo,1304,1173,336,223,46.2%,542,272,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,28,272
399,Hermosillo,1129,1044,272,279,52.6%,549,275,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,3,28,275
400,Hermosillo,2108,2027,516,186,36.3%,736,369,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,4,37,369
401,Hermosillo,2126,2028,519,262,39.9%,808,405,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,5,41,405
402,Hermosillo,2803,3021,700,622,51.1%,1543,772,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,2,8,78,772
403,Hermosillo,1475,1687,337,454,57.9%,976,489,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,5,49,489
404,Hermosillo,1369,1324,331,344,54.3%,719,360,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,4,36,360
405,Hermosillo,840,756,216,161,48.9%,369,185,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,2,19,185
406,Hermosillo,1062,955,290,289,58.6%,559,280,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,28,280
407,Hermosillo,967,871,251,192,48.6%,423,212,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,3,22,212
408,Hermosillo,1032,957,247,255,53.1%,508,255,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,26,255
409,Hermosillo,1291,1161,298,343,54.3%,630,316,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,4,32,316
410,Hermosillo,1444,1338,333,420,56.7%,758,380,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,4,38,380
411,Hermosillo,1309,1178,329,291,51.9%,611,306,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,4,31,306
412,Hermosillo,1392,1336,207,349,42.9%,572,287,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,29,287
413,Hermosillo,2396,2873,410,1180,68.5%,1968,985,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,2,10,99,985
414,Hermosillo,1788,1609,246,172,26.8%,431,216,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,22,216
415,Hermosillo,4313,4068,883,383,31.8%,1293,647,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,2,7,65,647
416,Hermosillo,1106,995,269,155,42.9%,426,214,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,22,214
417,Hermosillo,861,896,108,524,75.6%,677,339,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,4,34,339
418,Hermosillo,1206,1130,167,655,71.4%,806,404,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,5,41,404
419,Hermosillo,1091,991,221,463,65.8%,652,327,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,4,33,327
420,Hermosillo,1092,1011,206,434,62.0%,626,314,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,4,32,314
421,Hermosillo,1093,983,264,257,51.9%,509,255,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,26,255
422,Hermosillo,615,553,132,165,50.7%,280,141,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,2,15,141
423,Hermosillo,952,856,219,175,45.6%,390,196,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,2,20,196
424,Hermosillo,1193,1073,319,204,48.7%,522,262,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,27,262
425,Hermosillo,1429,1349,379,317,52.3%,705,353,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,4,36,353
426,Hermosillo,1252,1209,352,201,48.6%,588,295,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,30,295
427,Hermosillo,1815,1633,452,238,40.8%,665,333,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,4,34,333
428,Hermosillo,2590,2575,597,309,38.1%,981,491,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,5,50,491
429,Hermosillo,2165,2706,540,332,44.2%,1194,598,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,2,6,60,598
430,Hermosillo,2019,1817,508,227,41.1%,746,374,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,4,38,374
431,Hermosillo,2009,1812,506,296,44.3%,801,401,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,5,41,401
432,Hermosillo,845,804,233,194,56.1%,451,226,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,23,226
433,Hermosillo,1254,1128,293,202,42.6%,480,241,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,25,241
434,Hermosillo,1286,1157,316,191,43.1%,498,250,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,25,250
435,Hermosillo,769,692,237,125,51.9%,359,180,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,2,18,180
436,Hermosillo,635,571,191,132,54.5%,311,156,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,2,16,156
437,Hermosillo,702,631,200,133,50.1%,316,159,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,2,16,159
438,Hermosillo,1151,1074,316,297,58.0%,623,312,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,4,32,312
439,Hermosillo,1465,1563,548,1829,169.1%,2642,1322,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,3,14,133,1322
440,Hermosillo,926,894,146,460,68.7%,614,308,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,4,31,308
441,Hermosillo,826,746,168,323,62.1%,463,232,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,24,232
442,Hermosillo,1073,965,279,266,54.1%,522,262,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,27,262
443,Hermosillo,973,885,260,238,56.6%,501,251,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,3,26,251
444,Hermosillo,1100,1000,293,247,53.1%,530,266,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,27,266
445,Hermosillo,635,571,167,126,49.8%,284,143,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,2,15,143
446,Hermosillo,672,604,172,121,47.3%,285,143,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,2,15,143
447,Hermosillo,872,784,225,149,47.2%,370,186,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,2,19,186
448,Hermosillo,3497,3428,804,498,41.2%,1412,707,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,2,8,71,707
449,Hermosillo,3955,4380,936,1017,53.5%,2344,1173,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,3,12,118,1173
450,Hermosillo,1128,1015,281,141,42.3%,429,215,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,22,215
451,Hermosillo,1187,1068,304,266,50.7%,541,271,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,3,28,271
452,Hermosillo,1288,1159,359,249,51.1%,592,297,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,30,297
453,Hermosillo,723,657,220,134,53.0%,348,175,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,2,18,175
454,Hermosillo,966,900,252,243,56.2%,505,253,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,3,26,253
455,Hermosillo,556,500,127,159,55.6%,277,139,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,2,14,139
456,Hermosillo,1439,1420,271,605,62.3%,884,443,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,5,45,443
457,Hermosillo,539,485,133,180,63.1%,305,153,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,2,16,153
458,Hermosillo,677,619,140,225,58.2%,360,181,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,2,19,181
459,Hermosillo,906,828,221,294,60.4%,499,250,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,3,25,250
460,Hermosillo,879,794,229,256,59.7%,474,238,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,24,238
461,Hermosillo,853,800,238,243,60.6%,484,243,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,25,243
462,Hermosillo,685,623,209,149,56.8%,353,177,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,2,18,177
463,Hermosillo,1240,1116,304,224,46.9%,523,262,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,3,27,262
464,Hermosillo,986,887,250,183,48.6%,430,216,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,22,216
465,Hermosillo,1266,1139,322,244,48.3%,550,276,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,28,276
466,Hermosillo,595,535,165,138,55.1%,294,148,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,2,15,148
467,Hermosillo,754,705,159,181,50.7%,357,179,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,2,18,179
468,Hermosillo,1176,1058,292,300,55.8%,590,296,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,30,296
469,Hermosillo,421,378,79,126,53.0%,200,101,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,2,11,101
470,Hermosillo,537,483,106,164,54.9%,265,133,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,2,14,133
471,Hermosillo,1201,1085,245,483,64.0%,694,348,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,4,35,348
472,Hermosillo,1083,1006,180,581,72.1%,725,363,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,4,37,363
473,Hermosillo,1362,1326,242,672,69.5%,921,461,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,5,47,461
474,Hermosillo,4227,4987,861,1803,66.1%,3295,1648,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,4,17,165,1648
475,Hermosillo,1001,951,177,548,75.3%,716,359,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,4,36,359
476,Hermosillo,1003,902,172,514,70.9%,639,320,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,4,32,320
477,Hermosillo,889,819,184,386,67.0%,549,275,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,3,28,275
478,Hermosillo,626,563,145,157,52.6%,295,148,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,2,15,148
479,Hermosillo,489,440,5,98,25.2%,110,56,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,1,6,56
480,Hermosillo,495,445,103,167,58.4%,259,130,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,2,13,130
481,Hermosillo,637,573,151,158,52.1%,298,150,Competida / Crítica,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Sur),1,1,2,15,150
482,Hermosillo,804,723,174,169,47.6%,344,173,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Este),1,1,2,18,173
483,Hermosillo,630,567,153,138,50.5%,286,144,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Oeste),1,1,2,15,144
484,Hermosillo,1537,1383,316,236,37.8%,522,262,Segura / Favorable,Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Norte),1,1,3,27,262
